Player,Team,OwnershipTotal,OwnershipTop1000,OwnershipTop100,OwnershipTop10,OwnershipTop1000_chg,OwnershipTop100_chg,OwnershipTop10_chg
Aaron Cadman,GWS,0.679257,0,0,0,0,0,0
Aaron Francis,SYD,0.196317,0,0,0,0,0,0
Aaron Naughton,WBD,0.751053,0,0,0,0,0,0
Adam Cerra,CAR,13.8151,60.8,60,60,16.3,18,20
Adam Saad,CAR,1.92559,0.1,0,0,-0.5,0,0
Adam Treloar,WBD,0.178368,0,0,0,0,0,0
Aidan Corr,NTH,0.256334,0,0,0,0,0,0
Aidan Johnson,MEL,2.68337,5.6,4,0,1.6,-1,-10
Aiden Riddle,FRE,1.85099,2.3,2,0,0.0999999999999996,1,0
Alex Cincotta,CAR,0.200804,0,0,0,0,0,0
Alex Davies,GCS,0.164906,0,0,0,0,0,0
Alex Dodson,STK,0.325886,0.3,1,0,-0.1,-1,0
Alex Neal-Bullen,ADE,1.52847,0,0,0,0,0,0
Alex Pearce,FRE,0.421801,0,0,0,0,0,0
Alex Sexton,GCS,0.0863795,0,0,0,0,0,0
Aliir Aliir,PTA,0.772928,0,0,0,0,0,0
Alixzander Tauru,STK,0.565393,0,0,0,0,0,0
Alwyn Davey Jnr,ESS,0.215388,0,0,0,0,0,0
Andrew Brayshaw,FRE,11.6955,31.3,27,30,8.6,13,30
Andrew McGrath,ESS,0.742079,0,0,0,0,0,0
Andy Moniz-Wakefield,MEL,0.0213144,0,0,0,0,0,0
Angus Clarke,ESS,0.227728,0,0,0,-0.1,0,0
Angus Hastie,STK,10.2994,25.6,31,20,0,0,-10
Angus McLennan,STK,0.24792,0,0,0,0,0,0
Angus Sheldrick,SYD,5.6444,4,6,20,-0.4,1,10
Anthony Caminiti,STK,0.141909,0,0,0,0,0,0
Anthony Scott,WBD,0.183977,0,0,0,0,0,0
Archer Day-Wicks,ESS,6.96028,3.2,5,10,-1.1,0,10
Archer Reid,WCE,14.8864,9.9,13,0,0.0999999999999996,-4,0
Archie Perkins,ESS,1.15434,0,0,0,0,0,0
Archie Roberts,ESS,1.90652,0.2,0,0,-0.1,-2,0
Arie Schoenmaker,STK,0.836872,0.2,0,0,-0.1,0,0
Arthur Jones,WBD,0.457138,0,0,0,0,0,0
Ash Johnson,COL,0.283258,0,0,0,0,0,0
Asher Eastham,GCS,1.36861,0.1,0,0,-0.5,-2,0
Ashton Moir,CAR,0.918203,0.2,0,0,0.1,0,0
Bailey Banfield,FRE,0.100963,0,0,0,0,0,0
Bailey Dale,WBD,1.76517,7.3,15,30,4.3,11,30
Bailey Humphrey,GCS,1.76517,0.8,0,0,-1.6,-2,0
Bailey J. Williams,WCE,0.664113,0,0,0,0,0,0
Bailey Laurie,MEL,1.12518,0,0,0,0,0,0
Bailey Macdonald,HAW,0.148079,0,0,0,0,0,0
Bailey Scott,NTH,0.302328,0,0,0,-0.1,-1,0
Bailey Smith,GEE,67.6481,72.1,66,80,-22.1,-29,-20
Bailey Williams,WBD,0.177807,0,0,0,0,0,0
Bayley Fritsch,MEL,0.949614,0,0,0,0,0,0
Beau McCreery,COL,0.491915,0,0,0,0,0,0
Ben Ainsworth,GCS,0.180051,0,0,0,0,0,0
Ben Camporeale,CAR,0.684866,0,0,0,-0.3,0,0
Ben Hobbs,ESS,1.55147,0.7,0,0,0,-1,-10
Ben Jepson,GCS,2.14154,0.9,2,0,-0.8,-1,0
Ben Keays,ADE,0.858186,0.1,1,0,0,0,0
Ben King,GCS,1.12013,0,0,0,-0.2,-1,0
Ben Long,GCS,0.112181,0,0,0,0,0,0
Ben McKay,ESS,0.465552,0,0,0,0,0,0
Ben Miller,RIC,0.466113,0,0,0,-0.1,0,0
Ben Paton,SYD,38.9179,50.4,40,30,-2.8,4,10
Benny Barrett,PTA,1.03824,0.1,0,0,-0.2,-3,-10
Billy Dowling,ADE,0.119473,0,0,0,0,0,0
Billy Frampton,COL,0.292793,0,0,0,0,0,0
Billy Wilson,CAR,0.321399,0,0,0,0,0,0
Blake Acres,CAR,0.398243,0,0,0,-0.1,0,0
Blake Hardwick,HAW,0.451529,0,0,0,-0.1,0,0
Blake Howes,MEL,0.16098,0,0,0,0,0,0
Blake Leidler,SYD,0.716277,0.1,0,0,0,0,0
Bo Allan,WCE,22.9467,16.1,26,0,-3.4,0,-30
Bobby Hill,COL,2.57512,0,0,0,0,0,0
Bodhi Uwland,GCS,0.266991,0,0,0,-0.1,0,0
Bodie Ryan,HAW,0.0830141,0,0,0,0,0,0
Brad Close,GEE,0.355053,0,0,0,0,0,0
Bradley Hill,STK,0.972611,0,0,0,0,0,0
Brady Hough,WCE,0.410022,0.1,0,0,0.1,0,0
Braeden Campbell,SYD,1.40675,0.1,0,0,0,0,0
Brandon Ryan,BRL,0.120034,0,0,0,0,0,0
Brandon Starcevich,BRL,0.636628,0,0,0,0,0,0
Brandon Walker,FRE,0.161541,0,0,0,0,0,0
Brandon Zerk-Thatcher,PTA,0.0858186,0,0,0,0,0,0
Brayden Cook,ADE,0.0420679,0,0,0,0,0,0
Brayden Fiorini,GCS,0.0566515,0,0,0,0,0,0
Brayden George,NTH,0.0302889,0,0,0,0,0,0
Brayden Maynard,COL,0.952979,0,0,0,0,0,0
Brennan Cox,FRE,0.176685,0,0,0,0,0,0
Brent Daniels,GWS,1.50547,0,0,0,-0.3,0,0
Brodie Grundy,SYD,0.818362,0,0,0,0,0,0
Brodie Kemp,CAR,0.362906,0,0,0,0,0,0
Brodie Smith,ADE,0.0891841,0,0,0,0,0,0
Brody Mihocek,COL,0.330935,0,0,0,0,0,0
Bruce Reville,BRL,0.115547,0,0,0,0,0,0
Brynn Teakle,NTH,0.0532861,0,0,0,0,0,0
Buku Khamis,WBD,0.347762,0,0,0,0,0,0
Caiden Cleary,SYD,0.229411,0,0,0,0,0,0
Caleb Daniel,NTH,75.6051,99.8,100,100,1.2,1,0
Caleb Graham,GCS,0.157615,0.1,0,0,0.1,0,0
Caleb Mitchell,SYD,0.384782,0,0,0,0,0,0
Caleb Poulter,WBD,0.19183,0,0,0,0,0,0
Caleb Serong,FRE,24.4964,15.2,8,0,-1.1,2,0
Caleb Windsor,MEL,0.690475,0,0,0,0,0,0
Callan Ward,GWS,0.335983,0,0,0,0,0,0
Callum Ah Chee,BRL,0.444238,0,0,0,0,0,0
Callum Coleman-Jones,NTH,0.104329,0,0,0,0,0,0
Callum Jamieson,WCE,0.0347762,0,0,0,0,0,0
Callum M. Brown,GWS,0.227728,0,0,0,0,0,0
Callum Mills,SYD,2.03665,0,0,0,-0.1,0,0
Callum Wilkie,STK,0.559784,0,0,0,0,0,0
Calsher Dear,HAW,0.238946,0,0,0,0,0,0
Cam Mackenzie,HAW,1.93288,0.2,1,0,-0.2,1,0
Cam Rayner,BRL,1.19529,0,0,0,0,0,0
Cameron Guthrie,GEE,0.334861,0,0,0,0,0,0
Cameron Zurhaar,NTH,0.54464,0,0,0,0,0,0
Campbell Chesser,WCE,0.169955,0,0,0,0,0,0
Campbell Gray,RIC,0.190708,0,0,0,0,0,0
Chad Warner,SYD,4.17538,0.4,0,0,0.2,0,0
Changkuoth Jiath,HAW,0.263626,0,0,0,0,0,0
Charlie Ballard,GCS,0.14247,0,0,0,0,0,0
Charlie Cameron,BRL,1.03936,0,0,0,0,0,0
Charlie Comben,NTH,0.175003,0,0,0,0,0,0
Charlie Curnow,CAR,1.18127,0,0,0,0,0,0
Charlie Dean,COL,0.083575,0,0,0,0,0,0
Charlie Edwards,ADE,0.574368,0,0,0,-0.1,0,0
Charlie Nicholls,FRE,0.0600169,0,0,0,0,0,0
Charlie Spargo,MEL,0.568198,0,0,0,0,0,0
Charlie West,COL,0.87894,0.4,0,0,-0.3,-1,0
Chayce Jones,ADE,0.0768441,0,0,0,0,0,0
Chris Burgess,ADE,0.0549688,0,0,0,0,0,0
Christian Moraes,PTA,0.849212,0.1,0,0,0,0,0
Christian Petracca,MEL,11.0083,7,7,10,-5.1,-2,0
Christian Salem,MEL,0.963076,0.9,0,0,0.7,-2,-10
Cillian Burke,GEE,0.651773,0,0,0,-0.1,0,0
Clay Hall,WCE,0.60073,0,0,0,0,0,0
Clayton Oliver,MEL,62.5999,97.6,98,100,5.19999999999999,10,0
Cody Anderson,HAW,0.420679,0.2,1,0,0.1,0,0
Cody Angove,GWS,2.87576,0.9,1,0,-0.8,1,0
Cody Weightman,WBD,0.16098,0,0,0,0,0,0
Coen Livingstone,WCE,0.453212,1,0,0,-0.2,-2,0
Colby McKercher,NTH,4.96963,0.5,0,0,-0.6,0,0
Connor Budarick,GCS,0.0813314,0,0,0,0,0,0
Connor Idun,GWS,0.214266,0,0,0,0,0,0
Connor Macdonald,HAW,0.671404,0,0,0,0,0,0
Connor O'Sullivan,GEE,13.6844,10.7,16,30,2.7,10,20
Connor Rozee,PTA,23.8178,82.1,87,80,14.8,15,0
Conor McKenna,BRL,0.274844,0,0,0,0,0,0
Conor Nash,HAW,0.430776,0,0,0,-0.2,0,0
Conor Stone,GWS,29.2266,64.3,56,40,7.2,4,-10
Cooper Bell,GCS,0.283818,0.1,0,0,-0.1,-1,0
Cooper Harvey,NTH,0.174442,0,0,0,0,0,0
Cooper Hynes,WBD,0.378612,0,0,0,-0.1,0,0
Cooper Lord,CAR,1.30972,0.2,1,0,0.1,1,0
Cooper Sharman,STK,0.0678696,0,0,0,0,0,0
Cooper Simpson,FRE,0.260821,0,0,0,0,0,0
Corey Durdin,CAR,0.0611388,0,0,0,0,0,0
Corey Wagner,FRE,0.766758,0.7,1,10,0,0,10
Corey Warner,SYD,7.73041,7.5,7,10,5.9,7,10
Dan Butler,STK,0.322521,0,0,0,0,0,0
Dan Houston,COL,11.5928,3.5,5,0,-5.5,-9,-10
Dane Rampe,SYD,1.95476,0.1,1,0,0.1,1,0
Daniel Curtin,ADE,5.87156,0.6,0,0,-0.6,0,0
Daniel McStay,COL,2.73722,0.2,0,0,0.2,0,0
Daniel Rioli,GCS,2.72039,0,0,0,-1.3,-2,0
Daniel Turner,MEL,0.116668,0,0,0,0,0,0
Dante Visentini,PTA,0.140787,0,0,0,0,0,0
Darcy Byrne-Jones,PTA,0.251286,0,0,0,0,0,0
Darcy Cameron,COL,7.33609,0.9,0,0,0.5,-2,0
Darcy Craven,BRL,0.0628215,0,0,0,0,0,0
Darcy Fogarty,ADE,0.609705,0,0,0,0,0,0
Darcy Fort,BRL,2.61775,0,0,0,-0.1,0,0
Darcy Gardiner,BRL,0.0650651,0,0,0,0,0,0
Darcy Jones,GWS,0.464991,0,0,0,0,0,0
Darcy Moore,COL,1.05675,0,0,0,0,0,0
Darcy Parish,ESS,0.164345,0,0,0,0,0,0
Darcy Tucker,NTH,0.618118,0,0,0,0,0,0
Darcy Wilmot,BRL,0.502572,0.1,0,0,0.1,0,0
Darcy Wilson,STK,1.80387,0.1,0,0,-0.2,-1,0
Darragh Joyce,BRL,0.0970367,0,0,0,0,0,0
David Swallow,GCS,0.382538,0,0,0,0,0,0
Dayne Zorko,BRL,15.1002,59.8,67,100,20.6,29,60
Deven Robertson,BRL,4.13893,0.1,0,0,-0.3,0,0
Dion Prestia,RIC,0.0734787,0,0,0,0,0,0
Dom Sheed,WCE,0.11162,0,0,0,0,0,0
Dougal Howard,STK,0.0409461,0,0,0,0,0,0
Dylan Moore,HAW,8.78267,0.3,1,0,-0.2,-1,0
Dylan Shiel,ESS,0.654016,0.1,0,0,-0.4,-1,0
Dylan Stephens,NTH,0.163224,0,0,0,0,0,0
Dylan Williams,PTA,0.169394,0,0,0,0,0,0
Eamonn Armstrong,STK,0.652334,0,0,0,0,0,0
Ed Langdon,MEL,0.202487,0,0,0,0,0,0
Ed Richards,WBD,1.3142,5.3,8,10,0.399999999999999,1,0
Eddie Ford,NTH,0.0723569,0,0,0,0,0,0
Edward Allan,COL,2.38834,0.4,0,0,0,0,0
Elijah Hewett,WCE,48.0865,59.8,61,60,-1.6,1,20
Elijah Hollands,CAR,0.135178,0,0,0,0,0,0
Elijah Tsatas,ESS,49.6716,69.8,68,50,-4.8,1,-30
Elliot Yeo,WCE,0.0521643,0,0,0,0,0,0
Elliott Himmelberg,GCS,0.0431898,0,0,0,0,0,0
Eric Hipwood,BRL,0.326447,0,0,0,0,0,0
Errol Gulden,SYD,0.544079,0,0,0,0,0,0
Esava Ratugolea,PTA,0.0925495,0,0,0,0,0,0
Ethan Read,GCS,1.13583,0.1,0,0,-0.1,0,0
Finlay Macrae,COL,0.330374,0,0,0,0,0,0
Finn Callaghan,GWS,30.7573,28.4,15,10,-15.8,-20,-20
Finn Maginness,HAW,1.24521,0,0,0,0,0,0
Finn O'Sullivan,NTH,47.2524,51,49,80,-3.1,-3,30
Finnbar Maley,NTH,0.425728,0.5,0,0,0,0,0
Francis Evans,CAR,0.166589,0,0,0,0,0,0
Geordie Payne,NTH,0.174442,0,0,0,0,0,0
George Hewett,CAR,0.246799,0,0,0,0,0,0
George Stevens,GEE,0.131813,0,0,0,0,0,0
George Wardlaw,NTH,0.132935,0,0,0,0,0,0
Griffin Logue,NTH,0.790877,0,0,0,-0.2,0,0
Gryan Miers,GEE,1.37927,0.2,0,0,0,0,0
Hamish Davis,WCE,0.40273,0.1,0,0,0,0,0
Harley Reid,WCE,5.41611,0,0,0,-0.1,0,0
Harris Andrews,BRL,0.973172,0,0,0,0,0,0
Harrison Jones,ESS,0.444238,0,0,0,-0.1,0,0
Harrison Oliver,GWS,0.274283,0,0,0,0,0,0
Harrison Petty,MEL,0.283258,0,0,0,0,0,0
Harry Armstrong,RIC,5.69432,2.5,2,0,-1.6,-2,0
Harry Barnett,WCE,0.500889,0.2,0,0,0.2,0,0
Harry Boyd,STK,58.2243,83.7,83,90,2.8,10,10
Harry Charleson,CAR,3.54212,0.3,0,0,-1.1,-3,0
Harry Cunningham,SYD,0.143592,0,0,0,0,0,0
Harry DeMattia,COL,0.181173,0,0,0,0,0,0
Harry Edwards,WCE,0.140226,0,0,0,0,0,0
Harry Himmelberg,GWS,0.5323,0,0,0,0,0,0
Harry Lemmey,CAR,0.0572124,0,0,0,0,0,0
Harry McKay,CAR,1.55203,0,0,0,-0.7,-4,0
Harry Morrison,HAW,0.518277,0,0,0,0,0,0
Harry O'Farrell,CAR,0.223801,0,0,0,0,0,0
Harry Perryman,COL,23.4161,16.9,11,10,-21.2,-18,-20
Harry Rowston,GWS,0.212583,0,0,0,0,0,0
Harry Schoenberg,ADE,0.119473,0,0,0,0,0,0
Harry Sharp,MEL,1.13303,0,0,0,-0.1,0,0
Harry Sheezel,NTH,67.33,80.6,72,80,0.299999999999997,7,40
Harvey Gallagher,WBD,0.6069,0,0,0,0,0,0
Harvey Harrison,COL,0.029728,0,0,0,0,0,0
Harvey Johnston,WCE,0.857064,0,0,0,0,0,0
Harvey Langford,MEL,11.3236,2.6,1,0,-2,-4,0
Harvey Thomas,GWS,0.0549688,0,0,0,0,0,0
Hayden McLean,SYD,0.0903059,0,0,0,0,0,0
Hayden Young,FRE,0.203048,0,0,0,0,0,0
Heath Chapman,FRE,0.327569,0,0,0,0,0,0
Henry Hustwaite,HAW,0.970367,0,0,0,-0.1,0,0
Henry Smith,BRL,0.110498,0,0,0,0,0,0
Hudson O'Keeffe,CAR,0.129569,0,0,0,0,0,0
Hugh Bond,ADE,0.159297,0,0,0,0,0,0
Hugh Boxshall,STK,9.25607,12.8,8,20,-4,-2,0
Hugh Davies,FRE,0.389269,0,0,0,0,0,0
Hugh Jackson,PTA,0.129569,0,0,0,0,0,0
Hugh McCluggage,BRL,0.637189,0,0,0,-0.1,0,0
Hugo Garcia,STK,15.0121,14.7,13,30,-4.6,-7,10
Hugo Ralphsmith,RIC,0.182855,0,0,0,0,0,0
Hunter Clark,STK,0.168272,0,0,0,0,0,0
Iliro Smit,COL,0.0925495,0,0,0,0,0,0
Indhi Kirk,SYD,0.152006,0,0,0,0,0,0
Isaac Cumming,ADE,2.83818,0.2,0,0,-0.3,0,0
Isaac Heeney,SYD,7.3546,0.2,0,0,-1.1,-2,0
Isaac Kako,ESS,72.3787,68.7,69,50,-6,3,10
Isaac Keeler,STK,0.196317,0.1,0,0,0.1,0,0
Isaac Quaynor,COL,2.73498,0,0,0,0,0,0
Isaiah Dudley,FRE,0.967002,0.2,0,0,-0.1,0,0
Ivan Soldo,PTA,0.127326,0,0,0,0,0,0
Izak Rankine,ADE,29.4049,63.9,63,70,-2.8,-6,20
Jack Billings,MEL,0.277648,0,0,0,0,0,0
Jack Bowes,GEE,0.257456,0,0,0,0,0,0
Jack Buckley,GWS,0.162102,0,0,0,0,0,0
Jack Buller,SYD,0.0448725,0,0,0,0,0,0
Jack Carroll,STK,0.477892,0,0,0,0,0,0
Jack Crisp,COL,0.55081,0.1,1,0,0,0,0
Jack Darling,NTH,0.641676,0,0,0,-0.1,0,0
Jack Delean,FRE,0.041507,0,0,0,0,0,0
Jack Ginnivan,HAW,1.9542,0,0,0,0,0,0
Jack Graham,WCE,1.56381,0.4,0,0,-0.5,-3,-20
Jack Gunston,HAW,0.143031,0,0,0,0,0,0
Jack Henderson,MEL,8.18979,13.8,18,50,0.800000000000001,4,40
Jack Henry,GEE,0.770124,0,0,0,0,0,0
Jack Higgins,STK,0.406096,0,0,0,0,0,0
Jack Hutchinson,WCE,0.643359,0,0,0,-0.2,0,0
Jack Lukosius,PTA,0.597926,0,0,0,0,0,0
Jack Macrae,STK,69.3959,100,100,100,1.3,1,0
Jack Martin,GEE,2.02711,0.1,1,0,-0.4,0,0
Jack Ough,GWS,0.158175,0,0,0,-0.1,0,0
Jack Payne,BRL,0.274283,0,0,0,0,0,0
Jack Petruccelle,WCE,0.0790877,0,0,0,0,0,0
Jack Ross,RIC,2.84155,1.8,1,0,0.6,-2,-10
Jack Scrimshaw,HAW,0.311864,0,0,0,-0.1,0,0
Jack Silvagni,CAR,1.93905,0.6,1,10,-0.8,-2,0
Jack Sinclair,STK,7.44995,6.1,2,0,3.5,-1,-10
Jack Steele,STK,1.02702,0.5,0,0,0.1,0,0
Jack Viney,MEL,0.386464,0,0,0,0,0,0
Jack Whitlock,PTA,0.23502,0,0,0,0,0,0
Jack Williams,WCE,0.0813314,0,0,0,0,0,0
Jackson Archer,NTH,1.38263,0,0,0,0,0,0
Jackson Mead,PTA,0.477892,0,0,0,0,0,0
Jacob Bauer,RIC,0.586147,0,0,0,0,0,0
Jacob Blight,RIC,1.48752,0.3,0,0,0.1,0,0
Jacob Hopper,RIC,0.413949,0.1,0,0,-0.1,-1,-10
Jacob Konstanty,NTH,3.00253,1.8,1,0,1.3,0,0
Jacob Koschitzke,RIC,0.095354,0,0,0,0,0,0
Jacob Molier,GEE,0.120034,0,0,0,0,0,0
Jacob Moss,PTA,0.553053,0,0,0,-0.1,0,0
Jacob Wehr,GWS,0.225484,0,0,0,0,0,0
Jacob Weitering,CAR,1.6743,0,0,0,-0.1,0,0
Jacob van Rooyen,MEL,0.326447,0,0,0,0,0,0
Jade Gresham,ESS,0.255212,0,0,0,-0.1,-1,0
Jaeger O'Meara,FRE,0.403291,0,0,0,0,0,0
Jagga Smith,CAR,1.98112,0,0,0,0,0,0
Jai Culley,MEL,0.3343,0,0,0,0,0,0
Jai Newcombe,HAW,1.60139,0.1,0,0,0,0,0
Jai Serong,HAW,0.672526,0,0,0,0,0,0
Jaime Uhr-Henry,HAW,1.24745,0.9,1,0,0.2,-1,-10
Jake Bowey,MEL,0.654016,0.7,1,0,0.1,-3,-20
Jake Kolodjashnij,GEE,0.0947931,0,0,0,0,0,0
Jake Lever,MEL,1.55988,0.3,1,0,0.1,1,0
Jake Lloyd,SYD,0.987195,0,0,0,0,0,0
Jake Melksham,MEL,0.0493597,0,0,0,0,0,0
Jake Riccardi,GWS,0.0459943,0,0,0,0,0,0
Jake Rogers,GCS,0.529495,0,0,0,-0.2,0,0
Jake Soligo,ADE,2.18473,1.9,0,0,0.4,-2,0
Jake Stringer,GWS,0.329252,0,0,0,0,0,0
Jake Waterman,WCE,0.744322,0,0,0,0,0,0
Jakob Ryan,COL,0.151445,0,0,0,0,0,0
Jamarra Ugle-Hagan,WBD,0.152566,0,0,0,0,0,0
James Aish,FRE,0.264187,0,0,0,0,0,0
James Barrat,STK,0.25409,0,0,0,0,0,0
James Blanck,HAW,0.0695523,0,0,0,0,0,0
James Borlase,ADE,0.0521643,0,0,0,0,0,0
James Harmes,WBD,0.180612,0,0,0,0,0,0
James Jordon,SYD,0.836872,0,0,0,-0.1,0,0
James Leake,GWS,45.0284,44.9,39,60,-8.7,-11,20
James O'Donnell,WBD,0.403291,0,0,0,-0.1,0,0
James Peatling,ADE,6.77294,1.7,2,0,-2.2,-6,0
James Rowbottom,SYD,0.244555,0,0,0,0,0,0
James Sicily,HAW,7.66366,3.9,6,0,-0.5,1,0
James Trezise,RIC,0.870526,0,0,0,-0.2,0,0
James Tunstill,BRL,0.661308,0,0,0,0,0,0
James Worpel,HAW,0.209779,0,0,0,0,0,0
Jamie Cripps,WCE,0.200243,0,0,0,0,0,0
Jamie Elliott,COL,0.773489,0,0,0,0,0,0
Jaren Carr,FRE,0.0695523,0,0,0,0,0,0
Jarman Impey,HAW,0.325886,0,0,0,0,0,0
Jarrod Berry,BRL,0.297841,0,0,0,0,0,0
Jarrod Witts,GCS,1.42751,0.1,0,0,-1,-2,0
Jase Burgoyne,PTA,0.381977,0,0,0,-0.2,0,0
Jason Horne-Francis,PTA,63.0537,80.6,74,70,-0.400000000000006,3,30
Jason Johannisen,WBD,0.0347762,0,0,0,0,0,0
Jaspa Fletcher,BRL,0.635506,0,0,0,0,0,0
Jasper Alger,RIC,0.164906,0,0,0,0,0,0
Jasper Scaife,HAW,0.095354,0,0,0,0,0,0
Jaxon Binns,CAR,0.559784,0,0,0,-0.1,0,0
Jaxon Prior,ESS,17.7869,25.8,23,30,3.1,-5,-20
Jay Polkinghorne,GEE,0.114986,0,0,0,0,0,0
Jayden Hunt,WCE,0.413949,0,0,0,0,0,0
Jayden Laverde,ESS,0.095354,0,0,0,0,0,0
Jayden Nguyen,ESS,2.21894,0.7,0,0,-0.3,-3,0
Jayden Short,RIC,24.156,33.9,28,40,-5.3,-12,-10
Jed Adams,MEL,0.133496,0.2,0,0,0.1,0,0
Jed Bews,GEE,0.366272,0,0,0,0,0,0
Jed McEntee,PTA,0.0863795,0,0,0,0,0,0
Jed Walter,GCS,0.319716,0,0,0,0,0,0
Jedd Busslinger,WBD,2.37151,0.2,0,0,-0.9,-2,-10
Jeremy Cameron,GEE,5.33758,0.6,0,0,0.1,-2,-10
Jeremy Finlayson,PTA,1.81565,1.6,4,0,-4.1,-10,-20
Jeremy Howe,COL,0.357297,0,0,0,0,0,0
Jeremy McGovern,WCE,1.58624,0.4,0,0,-0.2,-1,0
Jeremy Sharp,FRE,0.50145,0,0,0,-0.1,0,0
Jesse Dattoli,SYD,0.166589,0,0,0,0,0,0
Jesse Hogan,GWS,1.08367,0,0,0,0,0,0
Jesse Motlop,CAR,1.60868,0.2,0,0,-0.1,0,0
Jhye Clark,GEE,0.781342,0,0,0,0,0,0
Jimmy Webster,STK,0.169394,0,0,0,0,0,0
Jobe Shanahan,WCE,0.434702,0,0,0,-0.1,0,0
Joe Berry,PTA,12.3231,7.1,6,0,-1.1,-4,-10
Joe Fonti,GWS,0.100963,0,0,0,0,0,0
Joe Pike,GEE,1.10106,0.7,2,0,-0.6,0,0
Joe Richards,PTA,0.448725,0,0,0,0,0,0
Joel Amartey,SYD,1.17846,0,0,0,-0.1,0,0
Joel Cochran,COL,0.17332,0,0,0,0,0,0
Joel Freijah,WBD,10.5557,26.6,38,60,5.2,5,0
Joel Hamling,SYD,0.951857,0.3,0,0,0.1,0,0
Joel Jeffrey,GCS,0.157615,0,0,0,0,0,0
John Noble,GCS,1.03207,0.3,0,0,-0.3,-1,0
Jonty Faull,RIC,0.116668,0,0,0,0,0,0
Jordan Boyd,CAR,0.194073,0,0,0,0,0,0
Jordan Clark,FRE,8.04171,33,40,30,15.4,25,20
Jordan Croft,WBD,0.165467,0,0,0,0,0,0
Jordan Dawson,ADE,11.7818,30.9,32,20,14.2,13,-10
Jordan De Goey,COL,0.300085,0,0,0,0,0,0
Jordan Ridley,ESS,0.500889,0,0,0,0,0,0
Jordon Butts,ADE,0.251286,0,0,0,0,0,0
Jordon Sweet,PTA,1.40787,0.2,1,0,-0.1,-1,0
