player,position,price,change,priced at,breakeven,last score,last tog,last ppm,last cba,cba change,last ki,ki change,season avg,tog,season ppm,season cba,season ki,last 3 avg,last 3 tog,last 3 ppm,last 3 cba,last 3 ki,ownership total,ownership top 1000,ownership top 100,ownership top 10,ownership top 1000 chg,ownership top 100 chg,ownership top 10 chg,win avg,loss avg,home avg,away avg,opp last score,opp last 3 score,opp career,reserves avg,reserves last
Mason Cox,RUC/FWD,517000,0,53,51,55,0.52,0.88,0.21,0.21,0,0,55,0.52,0.88,0.21,0,55,0.52,0.88,0.21,0,0.02,0,0,0,0,0,0,55,0,0,55,0,0,0,0,0
Jacob Wehr,MID,553000,-4000,57,57,0,0,0,0,0,0,0,55,0.71,0.64,0,0,55,0.71,0.64,0,0,0.01,0,0,0,0,0,0,55,0,46,63,63,65,65,0,0
Eric Hipwood,FWD,593000,-37000,61,63,83,0.83,0.83,0,0,0,0,55,0.79,0.57,0,0,55,0.79,0.57,0,0,0,0,0,0,0,0,0,55,0,83,27,54,48,56,0,0
Lachie Sullivan,MID,482000,5000,49,44,0,0,0,0,-0.23,0,0,55,0.85,0.54,0.23,0,55,0.85,0.54,0.23,0,0.01,0,0,0,0,0,0,55,0,55,0,0,0,0,0,0
Caleb Windsor,MID,599000,-6000,61,66,0,0,0,0,0,0,0,55,0.83,0.55,0,0,55,0.83,0.55,0,0,0.01,0,0,0,0,0,0,0,55,55,0,0,0,0,0,0
Oliver Florent,DEF,704000,-81000,72,104,45,0.79,0.47,0,0,0,0,55,0.81,0.57,0,0.03,55,0.81,0.57,0,0.03,0.01,0,0,0,0,0,0,45,61,61,45,0,0,0,0,0
Isaac Quaynor,DEF,552000,6000,56,65,42,0.83,0.42,0,0,0,-0.11,54,0.85,0.53,0,0.04,54,0.85,0.53,0,0.04,0.06,0,0,0,0,0,0,50,63,57,53,0,0,0,0,0
Mabior Chol,FWD,580000,-29000,59,66,57,0.86,0.55,0.09,0,0,0,54,0.85,0.53,0.11,0,54,0.85,0.53,0.11,0,0.02,0,0,0,0,0,0,54,0,61,51,48,55,48,0,0
Tom Brown,DEF,512000,6000,52,50,53,0.84,0.53,0,0,0.14,0.01,54,0.82,0.55,0,0.14,54,0.82,0.55,0,0.14,0.01,0,0,0,0,0,0,55,53,55,53,81,81,81,0,0
Jack Bowes,MID,744000,-61000,76,112,41,0.78,0.44,0.28,0.28,0.14,0.14,53,0.79,0.56,0.14,0.07,53,0.79,0.56,0.14,0.07,0,0,0,0,0,0,0,64,41,64,41,86,79,69,0,0
Darcy Jones,FWD,562000,0,58,65,0,0,0,0,0,0,0,53,0.81,0.55,0,0,53,0.81,0.55,0,0,0.01,0,0,0,0,0,0,53,0,62,44,98,98,98,0,0
Jamie Cripps,FWD,679000,-50000,69,92,55,0.9,0.51,0,0,0,0,53,0.9,0.49,0,0,53,0.9,0.49,0,0,0,0,0,0,0,0,0,0,53,51,55,58,62,70,0,0
James Harmes,MID/FWD,643000,-31000,66,86,42,0.87,0.4,0.08,0.05,0,0,53,0.81,0.56,0.06,0,53,0.81,0.56,0.06,0,0,0,0,0,0,0,0,63,42,53,0,13,59,72,0,0
Finn Maginness,MID/FWD,523000,18000,54,56,41,0.79,0.43,0,0,0,0,53,0.76,0.59,0,0,53,0.76,0.59,0,0,0.04,0,0,0,0,0,0,53,0,64,48,59,59,59,0,0
Ryan Maric,MID/FWD,430000,9000,44,27,74,0.85,0.73,0,0,0.5,0.31,53,0.59,0.76,0,0.34,53,0.59,0.76,0,0.34,0.01,0,0,0,0,0,0,0,53,31,74,33,49,49,0,0
Harrison Petty,FWD,533000,12000,55,61,30,1,0.25,0,0,0,0,53,0.98,0.46,0,0,53,0.98,0.46,0,0,0,0,0,0,0,0,0,0,53,76,30,63,54,54,0,0
Beau McCreery,FWD,540000,-4000,55,59,51,0.75,0.57,0.17,0.14,0,0,53,0.75,0.59,0.12,0,53,0.75,0.59,0.12,0,0.01,0,0,0,0,0,0,54,52,56,52,0,0,0,0,0
Thomas Stewart,DEF,833000,-66000,85,141,9,0.18,0.42,0,-0.5,0,-0.22,52,0.48,0.73,0.25,0.11,52,0.48,0.73,0.25,0.11,0.05,0.02,0,0,-0.03,-0.04,0,95,9,95,9,47,71,67,0,0
Nick Watson,FWD,531000,-38000,54,44,77,0.79,0.81,0,0,0,0,52,0.76,0.57,0,0,52,0.76,0.57,0,0,0.04,0,0,0,0,0,0,52,0,69,44,42,42,42,0,0
Oliver Henry,FWD,476000,12000,49,44,48,0.86,0.47,0,0,0,0,52,0.86,0.51,0,0,52,0.86,0.51,0,0,0.02,0,0,0,0,0,0,56,48,56,48,40,45,45,0,0
Callum Brown,FWD,439000,13000,45,33,0,0,0,0,-0.12,0,0,51,0.79,0.54,0.06,0,51,0.79,0.54,0.06,0,0.01,0,0,0,0,0,0,51,0,36,66,12,53,53,0,0
Mark Keane,DEF,624000,-22000,64,87,26,0.95,0.23,0,0,0.4,-0.18,51,0.98,0.43,0,0.49,51,0.98,0.43,0,0.49,0,0,0,0,0,0,0,51,0,75,26,72,69,69,0,0
Scott Pendlebury,MID,693000,-119000,71,104,68,0.77,0.74,0.5,0.21,0,0,51,0.62,0.73,0.53,0,51,0.62,0.73,0.53,0,0.02,0,0,0,0,0,0,49,56,30,62,0,0,0,0,0
Brody Mihocek,FWD,580000,-22000,59,70,0,0,0,0,0,0,0,51,0.81,0.52,0,0,51,0.81,0.52,0,0,0.01,0,0,0,0,0,0,57,44,57,44,0,0,0,0,0
Connor MacDonald,FWD,703000,-97000,72,114,20,0.27,0.62,0,0,0,0,51,0.59,0.68,0,0,51,0.59,0.68,0,0,0.03,0,0,0,0,0,0,51,0,94,29,60,73,71,0,0
Nick Haynes,DEF,655000,-35000,67,93,35,0.73,0.4,0,0,0,0,51,0.78,0.54,0,0,51,0.78,0.54,0,0,0.01,0,0,0,-0.01,-0.01,0,0,51,35,67,45,61,74,0,0
Tom Lynch,FWD,441000,6000,45,40,0,0,0,0,0,0,0,51,0.87,0.49,0,0,51,0.87,0.49,0,0,0.02,0,0,0,0,0,0,51,0,51,0,55,63,68,0,0
Brandon Starcevich,DEF,480000,1000,49,48,0,0,0,0,0,0,0,50,0.66,0.63,0,0,50,0.66,0.63,0,0,0.01,0,0,0,0,0,0,50,0,0,50,35,40,36,0,0
Mitch McGovern,DEF,662000,-50000,68,93,48,0.8,0.5,0,0,0.5,0.25,50,0.81,0.52,0,0.38,50,0.81,0.52,0,0.38,0.01,0,0,0,0,0,0,0,50,48,52,58,67,52,0,0
Bradley Close,FWD,560000,-14000,57,69,39,0.8,0.41,0,0,0,0,50,0.78,0.55,0,0,50,0.78,0.55,0,0,0,0,0,0,0,0,0,61,39,61,39,54,58,53,0,0
Charlie Comben,DEF,574000,-48000,59,64,82,0.95,0.72,0,0,0,0,50,0.92,0.45,0,0,50,0.92,0.45,0,0,0,0,0,0,0,0,0,82,18,82,18,53,53,53,0,0
Neil Erasmus,MID/FWD,438000,3000,45,40,50,0.66,0.63,0.18,0.18,0,0,50,0.66,0.63,0.18,0,50,0.66,0.63,0.18,0,0.01,0,0,0,0,0,0,0,50,50,0,36,50,50,0,0
Bodhi Uwland,DEF,619000,-12000,63,74,0,0,0,0,0,0,-0.14,50,0.92,0.45,0,0.14,50,0.92,0.45,0,0.14,0,0,0,0,0,0,0,50,0,0,50,79,79,79,0,0
Logan Morris,FWD,448000,3000,46,38,61,0.8,0.64,0,0,0,0,50,0.79,0.53,0,0,50,0.79,0.53,0,0,0.01,0,0,0,0,0,0,50,0,61,38,0,0,0,0,0
Jade Gresham,FWD,542000,-21000,55,62,55,0.82,0.56,0,0,0,0,50,0.66,0.65,0,0,50,0.66,0.65,0,0,0,0,0,0,0,0,0,0,50,55,44,50,79,82,0,0
Harley Reid,MID,637000,-48000,65,85,56,0.79,0.59,0.72,0.04,0,0,50,0.79,0.53,0.7,0,50,0.79,0.53,0.7,0,0.08,0,0,0,0,0,0,0,50,44,56,78,79,79,0,0
Lachlan Bramble,DEF,667000,-37000,68,102,20,0.87,0.19,0,0,0.38,0,49,0.87,0.47,0,0.38,49,0.87,0.47,0,0.38,0,0,0,0,0,0,0,77,20,49,0,55,55,55,0,0
Clay Hall,MID,284000,17000,29,12,49,0.65,0.63,0.55,0.55,0,0,49,0.65,0.63,0.55,0,49,0.65,0.63,0.55,0,0.02,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0
Edward Allan,MID,444000,7000,45,42,0,0,0,0,0,0,0,49,0.82,0.5,0.24,0,49,0.82,0.5,0.24,0,0.02,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0
Jack Scrimshaw,DEF,669000,-25000,68,103,0,0,0,0,0,0,0,49,0.52,0.66,0,0.06,49,0.52,0.66,0,0.06,0.01,0,0,0,0,0,0,49,0,13,85,71,59,63,0,0
Bobby Hill,FWD,544000,-32000,56,67,55,0.71,0.65,0,0,0,0,49,0.74,0.56,0,0,49,0.74,0.56,0,0,0.05,0,0,0,0,0,0,45,58,35,57,0,0,0,0,0
Rhylee West,FWD,594000,-18000,61,82,26,0.76,0.29,0.17,0.02,0,0,49,0.79,0.51,0.16,0,49,0.79,0.51,0.16,0,0,0,0,0,0,0,0,72,26,49,0,76,66,66,0,0
James Worpel,MID,774000,-22000,79,103,0,0,0,0,0,0,0,49,0.44,0.93,0.45,0,49,0.44,0.93,0.45,0,0.02,0,0,0,0,0,0,49,0,0,49,47,69,77,0,0
Rory Lobb,DEF,618000,-52000,63,81,62,1,0.52,0,0,0,0,49,1,0.41,0,0,49,1,0.41,0,0,0.01,0,0,0,0,0,0,35,62,49,0,54,59,65,0,0
Will Phillips,MID,575000,-34000,59,73,52,0.56,0.77,0.35,0.02,0,0,48,0.53,0.76,0.34,0,48,0.53,0.76,0.34,0,0,0,0,0,0,0,0,52,44,52,44,30,41,42,0,0
Jacob Blight,DEF,421000,0,43,33,65,0.77,0.7,0.15,0.15,0,0,48,0.66,0.58,0.07,0,48,0.66,0.58,0.07,0,0.01,0,0,0,0,0,0,30,65,30,65,0,0,0,0,0
Joel Hamling,FWD,347000,33000,36,17,51,0.87,0.49,0,0,0,0,48,0.87,0.46,0,0,48,0.87,0.46,0,0,0,0,0,0,0,0,0,51,44,44,51,0,0,0,0,0
Oscar Allen,FWD,560000,-20000,57,73,36,0.97,0.31,0,0,0,0,48,0.95,0.42,0,0,48,0.95,0.42,0,0,0.01,0,0,0,0,0,0,0,48,59,36,38,61,60,0,0
Zachary Williams,DEF/FWD,589000,-35000,60,77,47,0.65,0.6,0.13,0.01,0,0,48,0.65,0.62,0.13,0,48,0.65,0.62,0.13,0,0.02,0,0,0,0,0,0,0,48,47,49,8,46,59,0,0
Jacob Bauer,FWD,400000,30000,41,33,35,0.9,0.32,0.06,-0.06,0,0,48,0.87,0.47,0.09,0,48,0.87,0.47,0.09,0,0.01,0,0,0,0,0,0,61,35,61,35,35,41,41,0,0
Tom Barrass,DEF,553000,-49000,57,72,47,0.89,0.44,0,0,0,0,47,0.9,0.44,0,0,47,0.9,0.44,0,0,0.05,0,0,0,0,0,0,47,0,54,44,53,27,46,0,0
Cameron Rayner,FWD,633000,-60000,65,87,58,0.78,0.62,0.14,0,0,0,47,0.84,0.48,0.14,0,47,0.84,0.48,0.14,0,0.02,0,0,0,0,0,0,47,0,58,36,51,52,52,0,0
Alex Pearce,DEF,495000,-13000,51,58,43,0.93,0.39,0,0,0,0,46,0.93,0.41,0,0,46,0.93,0.41,0,0,0.01,0,0,0,0,0,0,0,46,43,48,80,61,45,0,0
Harry Sharp,MID,515000,-21000,53,62,46,0.83,0.46,0,0,0,0,46,0.74,0.53,0,0,46,0.74,0.53,0,0,0,0,0,0,0,0,0,0,46,45,46,87,70,70,0,0
Shai Bolton,MID/FWD,725000,-29000,74,97,46,0.77,0.5,0.41,0.41,0,0,46,0.77,0.5,0.41,0,46,0.77,0.5,0.41,0,0.04,0,0,0,0,0,0,0,46,46,0,105,114,100,0,0
Nathan Broad,DEF,587000,-45000,60,81,46,0.87,0.44,0,0,0,0,45,0.88,0.43,0,0,45,0.88,0.43,0,0,0,0,0,0,0,0,0,44,46,44,46,57,69,66,0,0
Brennan Cox,DEF,632000,-64000,65,90,55,0.84,0.55,0,0,0,-0.11,45,0.79,0.47,0,0.06,45,0.79,0.47,0,0.06,0,0,0,0,0,0,0,0,45,55,35,45,58,60,0,0
Robert Hansen,FWD,324000,29000,33,15,50,0.73,0.57,0,0,0,0,45,0.72,0.52,0,0,45,0.72,0.52,0,0,0.01,0,0,0,0,0,0,50,39,50,39,0,0,0,0,0
Sam Banks,MID,456000,8000,47,53,25,0.28,0.74,0,0,0,0,45,0.54,0.71,0,0,45,0.54,0.71,0,0,0.01,0,0,0,0,-0.01,0,64,25,64,25,80,80,80,0,0
Will Hoskin-Elliott,FWD,592000,-10000,61,73,0,0,0,0,0,0,0,45,0.57,0.66,0,0,45,0.57,0.66,0,0,0.01,0,0,0,0,0,0,0,45,0,45,0,0,0,0,0
Lewis Young,DEF,535000,-12000,55,63,44,0.89,0.41,0.09,0.09,0,0,44,0.89,0.41,0.09,0,44,0.89,0.41,0.09,0,0,0,0,0,0,0,0,0,44,44,0,45,45,45,0,0
Will Hayward,FWD,588000,-91000,60,88,44,0.79,0.46,0,0,0,0,44,0.8,0.45,0,0,44,0.8,0.45,0,0,0.01,0,0,0,0,0,0,44,44,44,44,0,0,0,0,0
Jacob Van Rooyen,FWD,541000,-45000,55,69,58,0.76,0.64,0.13,0.13,0,0,44,0.8,0.47,0.06,0,44,0.8,0.47,0.06,0,0,0,0,0,0,0,0,0,44,29,58,68,55,55,0,0
Aidan Johnson,FWD,247000,17000,25,10,0,0,0,0,-0.08,0,0,43,0.71,0.5,0.08,0,43,0.71,0.5,0.08,0,0.01,0.01,0,0,0,0,0,0,43,43,0,0,0,0,0,0
Cooper Lord,MID,528000,-14000,54,75,15,0.13,0.96,0,-0.29,0,0,43,0.35,1,0.15,0,43,0.35,1,0.15,0,0.01,0,0,0,0,0,0,0,43,15,70,0,0,0,0,0
Tyler Brockman,FWD,375000,13000,38,32,42,0.76,0.46,0,-0.06,0,0,43,0.8,0.45,0.03,0,43,0.8,0.45,0.03,0,0,0,0,0,0,0,0,0,43,43,42,55,45,46,0,0
Tom Papley,FWD,586000,-115000,60,85,69,0.84,0.68,0.05,-0.06,0,0,43,0.83,0.43,0.09,0,43,0.83,0.43,0.09,0,0.03,0,0,0,0,0,0,69,30,30,69,0,0,0,0,0
Lachlan Fogarty,FWD,499000,-22000,51,63,39,0.72,0.45,0,0,0,0,43,0.73,0.49,0,0,43,0.73,0.49,0,0,0,0,0,0,0,0,0,0,43,39,46,51,45,44,0,0
Nate Caddy,FWD,522000,-23000,53,73,26,0.54,0.4,0,0,0,0,42,0.7,0.48,0,0,42,0.7,0.48,0,0,0.02,0,0,0,0,0,0,0,42,26,57,0,0,0,0,0
Jimmy Webster,DEF,554000,-49000,57,76,49,0.78,0.52,0,0,0.08,-0.04,42,0.82,0.43,0,0.1,42,0.82,0.43,0,0.1,0,0,0,0,0,0,0,49,34,49,34,43,49,60,0,0
Jhye Clark,MID,455000,-30000,47,49,63,0.66,0.8,0.34,0.16,0,0,42,0.4,1,0.26,0,42,0.4,1,0.26,0,0.01,0,0,0,0,0,0,20,63,20,63,25,25,25,0,0
Jack Payne,DEF,498000,-35000,51,61,54,0.97,0.46,0,0,0,0,42,0.96,0.36,0,0,42,0.96,0.36,0,0,0,0,0,0,0,0,0,42,0,54,30,55,48,48,0,0
Charlie Spargo,FWD,345000,5000,35,29,42,0.74,0.47,0,0,0,0,42,0.74,0.47,0,0,42,0.74,0.47,0,0,0,0,0,0,0,0,0,0,42,0,42,50,60,55,0,0
Kyle Langford,FWD,696000,-28000,71,95,0,0,0,0,0,0,0,41,0.62,0.55,0,0,41,0.62,0.55,0,0,0.01,0,0,0,0,0,0,0,41,0,41,41,75,72,0,0
Jack Buckley,DEF,573000,-47000,59,82,0,0,0,0,0,0,0,41,0.91,0.37,0,0.03,41,0.91,0.37,0,0.03,0.01,0,0,0,0,0,0,41,0,34,48,74,70,62,0,0
Daniel Turner,FWD,430000,-4000,44,46,41,0.71,0.48,0,0,0,0,41,0.71,0.48,0,0,41,0.71,0.48,0,0,0,0,0,0,0,0,0,0,41,0,41,71,56,56,0,0
Sam Day,FWD,534000,-15000,55,65,41,0.85,0.4,0.14,0.14,0,0,41,0.85,0.4,0.14,0,41,0.85,0.4,0.14,0,0,0,0,0,0,0,0,41,0,41,0,56,50,50,0,0
James Trezise,DEF,655000,-64000,67,107,25,0.9,0.23,0,0,0,0,41,0.86,0.41,0,0,41,0.86,0.41,0,0,0,0,0,0,0,0,0,57,25,57,25,77,77,77,0,0
Blake Howes,DEF,499000,-38000,51,65,48,0.75,0.53,0,0,0,0,40,0.62,0.55,0,0,40,0.62,0.55,0,0,0,0,0,0,0,0,0,0,40,32,48,95,95,95,0,0
Jayden Hunt,DEF/MID,573000,-66000,59,83,52,0.82,0.53,0,0,0,0,39,0.82,0.4,0,0,39,0.82,0.4,0,0,0.01,0,0,0,0,0,0,0,39,26,52,82,70,54,0,0
Steely Green,FWD,361000,6000,37,35,36,0.82,0.37,0,0,0,0,39,0.79,0.41,0,0,39,0.79,0.41,0,0,0.01,0,0,0,0,0,0,41,36,41,36,0,0,0,0,0
Ben Paton,DEF/FWD,442000,-16000,45,53,0,0,0,0,0,0,0,39,0.63,0.53,0,0,39,0.63,0.53,0,0,0.02,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0
Jackson Archer,DEF,443000,-6000,45,50,0,0,0,0,0,0,0,39,0.74,0.44,0,0,39,0.74,0.44,0,0,0.01,0,0,0,0,0,0,0,39,0,39,45,48,48,0,0
Josh Draper,DEF,391000,-3000,40,44,32,0.46,0.58,0,0,0,0,38,0.6,0.53,0,0,38,0.6,0.53,0,0,0.02,0,0,0,0,0,0,0,38,32,43,54,57,57,0,0
Taylor Duryea,DEF,565000,-60000,58,85,41,0.76,0.45,0,0,0,0,38,0.76,0.42,0,0,38,0.76,0.42,0,0,0,0,0,0,0,0,0,35,41,38,0,71,58,64,0,0
Bruce Reville,MID,479000,-12000,49,57,38,0.48,0.66,0,0,0,0,38,0.48,0.66,0,0,38,0.48,0.66,0,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0
Bailey Banfield,FWD,579000,-59000,59,90,33,0.79,0.35,0,-0.03,0,0,38,0.79,0.4,0.01,0,38,0.79,0.4,0.01,0,0,0,0,0,0,0,0,0,38,33,43,63,43,47,0,0
Jye Amiss,FWD,471000,-37000,48,62,44,0.91,0.4,0,0,0,0,37,0.89,0.35,0,0,37,0.89,0.35,0,0,0.01,0,0,0,0,0,0,0,37,44,30,49,42,43,0,0
Liam Reidy,RUC,398000,-4000,41,43,0,0,0,0,-0.35,0,0,37,0.75,0.41,0.35,0,37,0.75,0.41,0.35,0,0.04,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0
Lachlan Jones,DEF,426000,-34000,44,49,55,0.72,0.64,0,0,0,0,37,0.62,0.47,0,0,37,0.62,0.47,0,0,0.01,0,0,0,0,0,0,55,18,55,18,37,37,37,0,0
Bradley Hill,MID/FWD,663000,-99000,68,109,49,0.91,0.45,0,0,0,0,37,0.87,0.35,0,0,37,0.87,0.35,0,0,0.01,0,0,0,0,0,0,49,25,49,25,71,81,72,0,0
Darcy Tucker,DEF/MID,611000,-92000,63,93,62,0.82,0.63,0,0,0,0,37,0.58,0.47,0,0,37,0.58,0.47,0,0,0,0,0,0,0,0,0,62,12,62,12,63,74,76,0,0
Bailey J. Williams,RUC,627000,-29000,64,87,36,0.5,0.6,0.52,0.52,0,0,36,0.5,0.6,0.52,0,36,0.5,0.6,0.52,0,0.01,0,0,0,0,0,0,0,36,0,36,93,67,65,0,0
Bayley Fritsch,FWD,484000,-30000,50,72,21,0.85,0.21,0,0,0,0,36,0.87,0.34,0,0,36,0.87,0.34,0,0,0.01,0,0,0,0,0,0,0,36,50,21,63,38,61,0,0
Heath Chapman,DEF,588000,-85000,60,90,57,0.75,0.63,0,0,0,-0.22,36,0.58,0.47,0,0.11,36,0.58,0.47,0,0.11,0,0,0,0,0,0,0,0,36,57,15,51,40,49,0,0
Lachlan McNeil,FWD,493000,-42000,50,71,34,0.83,0.34,0,0,0,0,36,0.86,0.35,0,0,36,0.86,0.35,0,0,0,0,0,0,0,0,0,37,34,36,0,62,41,41,0,0
Ben McKay,DEF,511000,-45000,52,78,28,1,0.23,0,0,0,0,35,0.98,0.3,0,0,35,0.98,0.3,0,0,0.01,0,0,0,0,0,0,0,35,28,42,70,53,51,0,0
Brandon Walker,DEF,524000,-41000,54,85,12,0.34,0.29,0,0,0,0,34,0.56,0.45,0,0,34,0.56,0.45,0,0,0,0,0,0,0,0,0,0,34,12,56,50,56,59,0,0
Reef McInnes,FWD,352000,28000,36,13,0,0.04,0,0,0,0,0,34,0.56,0.35,0,0.03,34,0.56,0.35,0,0.03,0.04,0,0,0,0,0,0,27,49,54,25,0,0,0,0,0
Sam Clohesy,MID,644000,-31000,66,92,0,0,0,0,0,0,0,33,0.93,0.3,0,0,33,0.93,0.3,0,0,0,0,0,0,0,0,0,33,0,0,33,86,86,86,0,0
Taj Woewodin,DEF,335000,-2000,34,35,33,0.56,0.49,0,0,0,0,33,0.56,0.49,0,0,33,0.56,0.49,0,0,0.01,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0
Aaron Cadman,FWD,418000,-31000,43,54,0,0,0,0,0,0,0,33,0.88,0.32,0,0,33,0.88,0.32,0,0,0.01,0,0,0,0,0,0,33,0,20,45,58,40,40,0,0
Jake Waterman,FWD,745000,-40000,76,111,0,0,0,0,0,0,0,33,0.58,0.47,0,0,33,0.58,0.47,0,0,0.02,0,0,0,0,0,0,0,33,33,0,76,77,69,0,0
Taylor Adams,MID/FWD,665000,-28000,68,97,0,0,0,0,0,0,0,32,0.54,0.49,0,0,32,0.54,0.49,0,0,0.02,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0
James O'Donnell,DEF,464000,-14000,47,59,0,0,0,0,0,0,0,32,0.61,0.44,0,0,32,0.61,0.44,0,0,0,0,0,0,0,0,0,32,0,32,0,10,10,10,0,0
Oisin Mullin,DEF,383000,-17000,39,53,19,0.78,0.2,0,-0.03,0,0,31,0.83,0.3,0.01,0,31,0.83,0.3,0.01,0,0.01,0,0,0,0,0,0,42,19,42,19,9,9,9,0,0
Hunter Clark,MID,641000,-113000,66,112,45,0.3,1.25,0.31,0.05,0,0,31,0.3,0.85,0.28,0,31,0.3,0.85,0.28,0,0,0,0,0,0,0,0,45,16,45,16,79,71,75,0,0
Brodie Kemp,DEF,598000,-86000,61,105,26,0.92,0.24,0,0,0,0,31,0.88,0.3,0,0,31,0.88,0.3,0,0,0,0,0,0,0,0,0,0,31,26,35,85,85,85,0,0
Charlie Ballard,DEF,496000,-19000,51,67,0,0,0,0,0,0,0,30,0.45,0.56,0,0,30,0.45,0.56,0,0,0,0,0,0,0,0,0,30,0,0,30,46,53,58,0,0
Conor McKenna,DEF,543000,-76000,56,94,25,0.32,0.65,0,0,0,0,29,0.49,0.53,0,0,29,0.49,0.53,0,0,0,0,0,0,0,0,0,29,0,25,32,87,70,70,0,0
Tyler Sonsie,FWD,443000,-16000,45,59,0,0,0,0,0,0,0,28,0.26,0.9,0,0,28,0.26,0.9,0,0,0,0,0,0,0,0,0,28,0,28,0,49,49,49,0,0
Liam Stocker,DEF,495000,-25000,51,70,26,0.4,0.54,0,0,0,0,26,0.4,0.54,0,0,26,0.4,0.54,0,0,0,0,0,0,0,0,0,26,0,26,0,43,66,64,0,0
Francis Evans,FWD,406000,-15000,42,54,0,0,0,0,0,0,0,26,0.78,0.28,0,0,26,0.78,0.28,0,0,0,0,0,0,0,0,0,0,26,0,26,21,21,21,0,0
Jordan Ridley,DEF,825000,-55000,84,131,0,0,0,0,0,0,-0.25,26,0.43,0.5,0,0.25,26,0.43,0.5,0,0.25,0.01,0,0,0,0,0,0,0,26,0,26,52,58,74,0,0
Zaine Cordy,DEF,367000,-11000,38,46,0,0,0,0,0,0,0,26,0.82,0.26,0,0,26,0.82,0.26,0,0,0,0,0,0,0,0,0,0,26,0,26,66,59,54,0,0
Harry Edwards,DEF,367000,-40000,38,54,30,0.87,0.29,0,0,0,0,25,0.86,0.25,0,0,25,0.86,0.25,0,0,0.01,0,0,0,0,0,0,0,25,20,30,46,39,45,0,0
Sam Switkowski,FWD,668000,-40000,68,103,0,0,0,0,0,0,0,25,0.42,0.5,0,0,25,0.42,0.5,0,0,0,0,0,0,0,0,0,0,25,0,25,70,85,61,0,0
Jack Lukosius,FWD,549000,-80000,56,64,0,0.03,0,0,0,0,0,23,0.44,0.23,0,0,23,0.44,0.23,0,0,0.01,0,0,0,0,0,0,0,46,0,46,39,70,68,0,0
Noah Long,FWD,380000,-54000,39,61,29,0.78,0.31,0,0,0,0,22,0.83,0.23,0,0,22,0.83,0.23,0,0,0,0,0,0,0,0,0,0,22,15,29,33,46,46,0,0
Angus Sheldrick,MID,401000,-47000,41,69,12,0.14,0.71,0.05,0.05,0,0,22,0.31,0.64,0.23,0,22,0.31,0.64,0.23,0,0.06,0,0,0,0,-0.01,0,12,32,32,12,0,0,0,0,0
Liam Fawcett,FWD,230000,0,24,24,22,0.7,0.26,0.03,0.03,0,0,22,0.7,0.26,0.03,0,22,0.7,0.26,0.03,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0
Alex Sexton,DEF,733000,-50000,75,118,0,0,0,0,0,0,0,21,0.41,0.43,0,0,21,0.41,0.43,0,0,0,0,0,0,0,0,0,21,0,0,21,12,38,44,0,0
Jack Petruccelle,FWD,468000,-27000,48,69,21,0.28,0.62,0,0,0,0,21,0.28,0.62,0,0,21,0.28,0.62,0,0,0,0,0,0,0,0,0,0,21,0,21,44,49,39,0,0
